Date,TOD,Number
12/21/19,E,5391
11/26/19,E,9962
11/1/19,E,2631
10/7/19,E,0366
12/21/19,M,3893
11/26/19,M,5111
11/1/19,M,0685
10/7/19,M,0458
12/20/19,E,3813
11/25/19,E,7809
10/31/19,E,8751
10/6/19,E,0376
12/20/19,M,9899
11/25/19,M,1679
10/31/19,M,8100
10/6/19,M,6281
12/19/19,E,7025
11/24/19,E,4368
10/30/19,E,1032
10/5/19,E,7168
12/19/19,M,0555
11/24/19,M,4982
10/30/19,M,1588
10/5/19,M,7510
12/18/19,E,5123
11/23/19,E,2489
10/29/19,E,0185
10/4/19,E,5920
12/18/19,M,9630
11/23/19,M,6765
10/29/19,M,8640
10/4/19,M,9818
12/17/19,E,6116
11/22/19,E,9016
10/28/19,E,2820
10/3/19,E,5775
12/17/19,M,3363
11/22/19,M,2921
10/28/19,M,5821
10/3/19,M,9279
12/16/19,E,8232
11/21/19,E,1211
10/27/19,E,4142
10/2/19,E,5067
12/16/19,M,6380
11/21/19,M,7804
10/27/19,M,0448
10/2/19,M,9641
12/15/19,E,7035
11/20/19,E,0465
10/26/19,E,3007
10/1/19,E,9409
12/15/19,M,8367
11/20/19,M,7360
10/26/19,M,5991
10/1/19,M,2943
12/14/19,E,3973
11/19/19,E,5316
10/25/19,E,7866
9/30/19,E,5993
12/14/19,M,0866
11/19/19,M,0475
10/25/19,M,0003
9/30/19,M,0085
12/13/19,E,8563
11/18/19,E,3525
10/24/19,E,4694
9/29/19,E,6587
12/13/19,M,6609
11/18/19,M,3891
10/24/19,M,5289
9/29/19,M,9146
12/12/19,E,4598
11/17/19,E,3528
10/23/19,E,0674
9/28/19,E,3210
12/12/19,M,6031
11/17/19,M,7159
10/23/19,M,0296
9/28/19,M,1850
12/11/19,E,9637
11/16/19,E,8638
10/22/19,E,3593
9/27/19,E,7560
12/11/19,M,0664
11/16/19,M,8546
10/22/19,M,9711
9/27/19,M,9835
12/10/19,E,3859
11/15/19,E,9326
10/21/19,E,2631
9/26/19,E,4161
12/10/19,M,7052
11/15/19,M,7393
10/21/19,M,1713
9/26/19,M,1862
12/9/19,E,5335
11/14/19,E,7051
10/20/19,E,5309
9/25/19,E,8742
12/9/19,M,7772
11/14/19,M,0299
10/20/19,M,5091
9/25/19,M,6717
12/8/19,E,1329
11/13/19,E,8854
10/19/19,E,4095
9/24/19,E,8593
12/8/19,M,8226
11/13/19,M,4284
10/19/19,M,0840
9/24/19,M,1396
12/7/19,E,2821
11/12/19,E,3412
10/18/19,E,0069
9/23/19,E,2932
12/7/19,M,9830
11/12/19,M,6158
10/18/19,M,5844
9/23/19,M,6671
12/6/19,E,6015
11/11/19,E,3148
10/17/19,E,0768
9/22/19,E,4846
12/6/19,M,2267
11/11/19,M,7126
10/17/19,M,6074
9/22/19,M,2162
12/5/19,E,7568
11/10/19,E,1087
10/16/19,E,3342
9/21/19,E,3281
12/5/19,M,9155
11/10/19,M,4215
10/16/19,M,6136
9/21/19,M,1033
12/4/19,E,8760
11/9/19,E,3098
10/15/19,E,2855
9/20/19,E,8573
12/4/19,M,4323
11/9/19,M,6826
10/15/19,M,1922
9/20/19,M,2453
12/3/19,E,2970
11/8/19,E,3743
10/14/19,E,5406
9/19/19,E,5987
12/3/19,M,6441
11/8/19,M,3412
10/14/19,M,7407
9/19/19,M,9980
12/2/19,E,1338
11/7/19,E,2898
10/13/19,E,0410
9/18/19,E,6591
12/2/19,M,5458
11/7/19,M,1739
10/13/19,M,3674
9/18/19,M,3855
12/1/19,E,3609
11/6/19,E,2870
10/12/19,E,5439
9/17/19,E,9271
12/1/19,M,5220
11/6/19,M,2474
10/12/19,M,8763
9/17/19,M,3195
11/30/19,E,9087
11/5/19,E,0467
10/11/19,E,8271
9/16/19,E,0318
11/30/19,M,0140
11/5/19,M,3480
10/11/19,M,3668
9/16/19,M,1837
11/29/19,E,3397
11/4/19,E,8545
10/10/19,E,9353
9/15/19,E,9869
11/29/19,M,5424
11/4/19,M,8306
10/10/19,M,5841
9/15/19,M,8975
11/28/19,E,3182
11/3/19,E,3664
10/9/19,E,4794
9/14/19,E,1876
11/28/19,M,4435
11/3/19,M,7295
10/9/19,M,0985
9/14/19,M,1704
11/27/19,E,3695
11/2/19,E,8419
10/8/19,E,9373
9/13/19,E,9552
11/27/19,M,7485
11/2/19,M,5691
10/8/19,M,4426
9/13/19,M,0201
9/12/19,E,0094
8/18/19,E,5709
7/24/19,E,6173
6/29/19,E,6933
9/12/19,M,5489
8/18/19,M,8200
7/24/19,M,4221
6/29/19,M,5655
9/11/19,E,1594
8/17/19,E,2540
7/23/19,E,2813
6/28/19,E,2135
9/11/19,M,2398
8/17/19,M,6822
7/23/19,M,2157
6/28/19,M,8269
9/10/19,E,7792
8/16/19,E,8899
7/22/19,E,5716
6/27/19,E,3667
9/10/19,M,2547
8/16/19,M,4329
7/22/19,M,1567
6/27/19,M,9643
9/9/19,E,8318
8/15/19,E,5834
7/21/19,E,2254
6/26/19,E,2979
9/9/19,M,7316
8/15/19,M,1881
7/21/19,M,6359
6/26/19,M,6315
9/8/19,E,1267
8/14/19,E,9611
7/20/19,E,9136
6/25/19,E,2939
9/8/19,M,2452
8/14/19,M,2372
7/20/19,M,6403
6/25/19,M,9045
9/7/19,E,8458
8/13/19,E,0974
7/19/19,E,3452
6/24/19,E,8588
9/7/19,M,7621
8/13/19,M,7063
7/19/19,M,9887
6/24/19,M,2168
9/6/19,E,8872
8/12/19,E,3826
7/18/19,E,4820
6/23/19,E,3551
9/6/19,M,0026
8/12/19,M,5001
7/18/19,M,6529
6/23/19,M,6963
9/5/19,E,3887
8/11/19,E,0068
7/17/19,E,5123
6/22/19,E,0086
9/5/19,M,6545
8/11/19,M,6917
7/17/19,M,7049
6/22/19,M,1328
9/4/19,E,3717
8/10/19,E,7103
7/16/19,E,1450
6/21/19,E,2409
9/4/19,M,3340
8/10/19,M,9016
7/16/19,M,6374
6/21/19,M,7091
9/3/19,E,8208
8/9/19,E,8215
7/15/19,E,2624
6/20/19,E,5100
9/3/19,M,2384
8/9/19,M,0791
7/15/19,M,9482
6/20/19,M,9530
9/2/19,E,5032
8/8/19,E,3257
7/14/19,E,7938
6/19/19,E,5646
9/2/19,M,9222
8/8/19,M,1722
7/14/19,M,4806
6/19/19,M,3510
9/1/19,E,8580
8/7/19,E,3684
7/13/19,E,9144
6/18/19,E,1495
9/1/19,M,8540
8/7/19,M,2568
7/13/19,M,3444
6/18/19,M,8723
8/31/19,E,9152
8/6/19,E,8882
7/12/19,E,6458
6/17/19,E,5746
8/31/19,M,0774
8/6/19,M,4714
7/12/19,M,3334
6/17/19,M,9469
8/30/19,E,4543
8/5/19,E,8862
7/11/19,E,0939
6/16/19,E,8945
8/30/19,M,4352
8/5/19,M,0960
7/11/19,M,4603
6/16/19,M,4560
8/29/19,E,4274
8/4/19,E,1557
7/10/19,E,6918
6/15/19,E,8262
8/29/19,M,3857
8/4/19,M,1964
7/10/19,M,2441
6/15/19,M,4163
8/28/19,E,0399
8/3/19,E,8639
7/9/19,E,6005
6/14/19,E,2884
8/28/19,M,8286
8/3/19,M,8437
7/9/19,M,0230
6/14/19,M,2190
8/27/19,E,0447
8/2/19,E,6645
7/8/19,E,6843
6/13/19,E,7641
8/27/19,M,1732
8/2/19,M,4143
7/8/19,M,7714
6/13/19,M,1886
8/26/19,E,8554
8/1/19,E,1051
7/7/19,E,3744
6/12/19,E,8518
8/26/19,M,2370
8/1/19,M,1425
7/7/19,M,7048
6/12/19,M,8094
8/25/19,E,3446
7/31/19,E,5328
7/6/19,E,5370
6/11/19,E,2556
8/25/19,M,2784
7/31/19,M,3815
7/6/19,M,0454
6/11/19,M,9113
8/24/19,E,6468
7/30/19,E,1139
7/5/19,E,1018
6/10/19,E,9798
8/24/19,M,7171
7/30/19,M,3045
7/5/19,M,4966
6/10/19,M,1236
8/23/19,E,7670
7/29/19,E,4020
7/4/19,E,5329
6/9/19,E,3928
8/23/19,M,2572
7/29/19,M,5792
7/4/19,M,9380
6/9/19,M,4686
8/22/19,E,5914
7/28/19,E,3709
7/3/19,E,8750
6/8/19,E,5637
8/22/19,M,7158
7/28/19,M,1851
7/3/19,M,6583
6/8/19,M,9792
8/21/19,E,4261
7/27/19,E,8556
7/2/19,E,2112
6/7/19,E,4694
8/21/19,M,3475
7/27/19,M,1956
7/2/19,M,7527
6/7/19,M,7495
8/20/19,E,8003
7/26/19,E,0530
7/1/19,E,4166
6/6/19,E,1104
8/20/19,M,2300
7/26/19,M,9261
7/1/19,M,7142
6/6/19,M,6090
8/19/19,E,8510
7/25/19,E,0999
6/30/19,E,4765
6/5/19,E,8191
8/19/19,M,4341
7/25/19,M,9938
6/30/19,M,4052
6/5/19,M,0604
6/4/19,E,8313
5/10/19,E,2429
4/15/19,E,0628
3/21/19,E,0916
6/4/19,M,0577
5/10/19,M,7103
4/15/19,M,0735
3/21/19,M,3237
6/3/19,E,8521
5/9/19,E,6878
4/14/19,E,1462
3/20/19,E,8134
6/3/19,M,6855
5/9/19,M,6236
4/14/19,M,0439
3/20/19,M,4128
6/2/19,E,4660
5/8/19,E,3688
4/13/19,E,2597
3/19/19,E,1785
6/2/19,M,8448
5/8/19,M,9972
4/13/19,M,4409
3/19/19,M,5230
6/1/19,E,8723
5/7/19,E,7428
4/12/19,E,3209
3/18/19,E,0086
6/1/19,M,9789
5/7/19,M,7245
4/12/19,M,6451
3/18/19,M,5421
5/31/19,E,6332
5/6/19,E,8253
4/11/19,E,2966
3/17/19,E,8896
5/31/19,M,6641
5/6/19,M,0203
4/11/19,M,7325
3/17/19,M,9825
5/30/19,E,9461
5/5/19,E,3344
4/10/19,E,2204
3/16/19,E,2837
5/30/19,M,5415
5/5/19,M,4599
4/10/19,M,3598
3/16/19,M,9956
5/29/19,E,3158
5/4/19,E,0730
4/9/19,E,2284
3/15/19,E,8902
5/29/19,M,4004
5/4/19,M,7622
4/9/19,M,8756
3/15/19,M,9133
5/28/19,E,8266
5/3/19,E,6420
4/8/19,E,9260
3/14/19,E,1427
5/28/19,M,8151
5/3/19,M,1585
4/8/19,M,2908
3/14/19,M,5621
5/27/19,E,5406
5/2/19,E,9174
4/7/19,E,6564
3/13/19,E,6503
5/27/19,M,8303
5/2/19,M,2260
4/7/19,M,5402
3/13/19,M,0675
5/26/19,E,7263
5/1/19,E,3770
4/6/19,E,5948
3/12/19,E,5744
5/26/19,M,4617
5/1/19,M,0342
4/6/19,M,9403
3/12/19,M,6736
5/25/19,E,7797
4/30/19,E,5018
4/5/19,E,4559
3/11/19,E,0297
5/25/19,M,9668
4/30/19,M,2200
4/5/19,M,3906
3/11/19,M,9319
5/24/19,E,8761
4/29/19,E,0630
4/4/19,E,1950
3/10/19,E,6932
5/24/19,M,4080
4/29/19,M,4926
4/4/19,M,7558
3/10/19,M,1728
5/23/19,E,8597
4/28/19,E,4412
4/3/19,E,7516
3/9/19,E,0282
5/23/19,M,0032
4/28/19,M,4989
4/3/19,M,1624
3/9/19,M,4170
5/22/19,E,8333
4/27/19,E,4698
4/2/19,E,3466
3/8/19,E,6944
5/22/19,M,2872
4/27/19,M,2414
4/2/19,M,2082
3/8/19,M,8652
5/21/19,E,4996
4/26/19,E,2079
4/1/19,E,3448
3/7/19,E,0606
5/21/19,M,8691
4/26/19,M,3781
4/1/19,M,8875
3/7/19,M,1538
5/20/19,E,4616
4/25/19,E,8290
3/31/19,E,4392
3/6/19,E,8916
5/20/19,M,4528
4/25/19,M,2754
3/31/19,M,0762
3/6/19,M,0242
5/19/19,E,1752
4/24/19,E,4796
3/30/19,E,2346
3/5/19,E,4652
5/19/19,M,7863
4/24/19,M,4452
3/30/19,M,2739
3/5/19,M,7807
5/18/19,E,0701
4/23/19,E,3776
3/29/19,E,4328
3/4/19,E,6507
5/18/19,M,1794
4/23/19,M,0888
3/29/19,M,8062
3/4/19,M,9548
5/17/19,E,2746
4/22/19,E,4506
3/28/19,E,2638
3/3/19,E,3309
5/17/19,M,4541
4/22/19,M,3686
3/28/19,M,8539
3/3/19,M,3832
5/16/19,E,0924
4/21/19,E,9607
3/27/19,E,0184
3/2/19,E,8030
5/16/19,M,9936
4/21/19,M,8772
3/27/19,M,9247
3/2/19,M,2964
5/15/19,E,5440
4/20/19,E,4507
3/26/19,E,3916
3/1/19,E,4840
5/15/19,M,6570
4/20/19,M,2001
3/26/19,M,5962
3/1/19,M,0424
5/14/19,E,2626
4/19/19,E,8026
